order_id,product_id,customer_id,order_date,sales_amount,discount,quantity,profit
ORD46947,PROD0114,CUST0289,03/31/2024,699.55,0.06,5,163.31
ORD85447,PROD0066,CUST0510,10/01/2023,1473.78,0.16,5,260.95
ORD20028,PROD0056,CUST0545,03/02/2024,394.58,0.19,2,87.66
ORD92781,PROD0014,CUST0164,09/16/2023,357.69,0.28,7,66.29
ORD74024,PROD0098,CUST0268,05/20/2024,1852.96,0.1,5,440.98
ORD48850,PROD0014,CUST0856,05/02/2024,232.78,0.18,4,22.22
ORD91929,PROD0116,CUST0056,07/04/2023,179.66,0.19,1,28.56
ORD67678,PROD0075,CUST0914,06/22/2024,488.96,0.07,2,34.54
ORD42544,PROD0060,CUST0349,08/27/2023,659.27,0.23,5,39.39
ORD71257,PROD0095,CUST0774,07/26/2023,1216.59,0.27,7,125.48
ORD88918,PROD0106,CUST0750,06/17/2024,350.28,0.24,9,22.89
ORD74162,PROD0004,CUST0321,07/18/2023,200.74,0.16,1,12.16
ORD10507,PROD0061,CUST0893,01/14/2024,4072.37,0.03,9,891.19
ORD95079,PROD0080,CUST0109,11/30/2023,2102.96,0.03,5,318.03
ORD35856,PROD0078,CUST0476,04/04/2024,1177.19,0.12,4,278.57
ORD11841,PROD0047,CUST0098,04/18/2024,1687.87,0.11,8,210.43
ORD94344,PROD0075,CUST0710,02/06/2024,191.9,0.27,1,28.17
ORD32506,PROD0088,CUST0697,09/02/2023,883.64,0.13,8,195.63
ORD54037,PROD0047,CUST0550,12/11/2023,1460.29,0.12,7,136.6
ORD59169,PROD0091,CUST0405,06/08/2024,2594.47,0.08,8,321.97
ORD77573,PROD0083,CUST0071,11/25/2023,3030.38,0.13,8,361.66
ORD32542,PROD0045,CUST0567,08/04/2023,383.61,0.23,1,79.79
ORD55977,PROD0100,CUST0883,01/10/2024,2567.67,0.06,6,544.91
ORD58978,PROD0117,CUST0181,12/12/2023,1125.83,0.11,3,259.69
ORD19840,PROD0061,CUST0156,10/19/2023,681.06,0.27,2,81.13
ORD47292,PROD0078,CUST0983,01/31/2024,277.58,0.17,1,54.87
ORD14421,PROD0072,CUST0158,12/31/2023,1175.09,0.21,3,70.97
ORD90003,PROD0020,CUST0395,09/12/2023,332.44,0.25,1,78.42
ORD32797,PROD0018,CUST0622,07/17/2023,1050.33,0.12,4,198.27
ORD60070,PROD0032,CUST0001,05/15/2024,1252.62,0.21,8,116.78
ORD28105,PROD0101,CUST0918,09/20/2023,52.43,0.29,7,10.69
ORD51558,PROD0015,CUST0705,12/25/2023,2177.81,0.09,5,185.57
ORD33843,PROD0116,CUST0031,01/11/2024,1288.66,0.17,7,207.61
ORD20808,PROD0035,CUST0897,08/26/2023,2754.54,0.17,8,653.51
ORD13231,PROD0118,CUST0513,03/27/2024,776.26,0.04,4,139.07
ORD86070,PROD0069,CUST0118,02/25/2024,2108.71,0.27,6,125.82
ORD87194,PROD0009,CUST0198,09/09/2023,218.79,0.25,2,20.9
ORD46968,PROD0104,CUST0729,04/03/2024,582.6,0.29,6,106.43
ORD77529,PROD0100,CUST0916,02/01/2024,2913.66,0.2,8,314.43
ORD26748,PROD0050,CUST0164,09/30/2023,96.13,0.29,5,18.13
ORD92514,PROD0102,CUST1000,02/12/2024,536.81,0.05,2,51.19
ORD91249,PROD0073,CUST0556,01/03/2024,295.43,0.08,8,62.25
ORD54060,PROD0062,CUST0683,02/06/2024,1688.34,0.24,6,355.42
ORD42783,PROD0059,CUST0067,11/20/2023,62.38,0.24,3,13.1
ORD13268,PROD0095,CUST0111,12/12/2023,535.68,0.25,3,83.08
ORD11761,PROD0042,CUST0816,10/11/2023,350.65,0.15,3,41.31
ORD98588,PROD0048,CUST0091,01/12/2024,2581.82,0.09,9,180.55
ORD65062,PROD0003,CUST0251,12/20/2023,37.71,0.19,4,7.07
ORD10084,PROD0109,CUST0155,03/21/2024,122.84,0.08,2,29
ORD74423,PROD0025,CUST0567,12/09/2023,188.28,0.1,5,18.45
ORD30186,PROD0079,CUST0171,12/02/2023,1343.55,0.19,6,158.17
ORD66014,PROD0039,CUST0188,07/05/2023,432.88,0.18,2,64.83
ORD20117,PROD0031,CUST0226,07/20/2023,192.06,0.03,6,36.56
ORD39752,PROD0012,CUST0901,02/24/2024,283.2,0.11,5,42.56
ORD40570,PROD0042,CUST0303,02/12/2024,261.27,0.05,2,26.25
ORD18585,PROD0071,CUST0214,05/17/2024,2107.01,0.06,5,375.75
ORD54912,PROD0087,CUST0165,02/02/2024,1031.54,0.01,6,227.33
ORD73131,PROD0095,CUST0829,03/02/2024,771.38,0.19,4,149.89
ORD14104,PROD0041,CUST0515,12/13/2023,951.48,0.11,4,51.06
ORD51980,PROD0008,CUST0649,08/06/2023,1887.53,0.21,8,374.74
ORD54810,PROD0078,CUST0853,04/13/2024,267.54,0.2,1,30.1
ORD59366,PROD0095,CUST0539,07/15/2023,1242.78,0.13,6,275.99
ORD38940,PROD0080,CUST0536,08/14/2023,1578.3,0.09,4,241.32
ORD94239,PROD0071,CUST0811,09/06/2023,3012.58,0.16,8,444.41
ORD77400,PROD0083,CUST0369,05/07/2024,2116.04,0.19,6,251.24
ORD46348,PROD0059,CUST0562,08/29/2023,101.23,0.26,5,5.93
ORD28767,PROD0103,CUST0083,01/12/2024,1111.79,0.27,4,263.08
ORD17790,PROD0035,CUST0493,02/12/2024,1555.65,0.25,5,179.31
ORD98633,PROD0064,CUST0548,09/02/2023,682.38,0.15,6,93.25
ORD16592,PROD0013,CUST0097,09/07/2023,141.33,0.3,1,28.11
ORD56471,PROD0053,CUST0284,02/13/2024,924.85,0.21,5,149.28
ORD52452,PROD0072,CUST0035,06/28/2024,2855.92,0.28,8,406.19
ORD24662,PROD0039,CUST0393,09/03/2023,2090.48,0.12,9,291.81
ORD15789,PROD0033,CUST0044,12/09/2023,161.28,0.04,6,30.98
ORD93342,PROD0103,CUST0390,09/27/2023,616.82,0.19,2,65.67
ORD76483,PROD0007,CUST0585,03/10/2024,1622.79,0.1,5,182.83
ORD61521,PROD0028,CUST0914,05/30/2024,462.4,0.06,4,115.47
ORD77459,PROD0025,CUST0996,11/04/2023,246.02,0.16,7,23.26
ORD24596,PROD0012,CUST0211,06/01/2024,463.94,0.19,9,67.89
ORD66083,PROD0005,CUST0306,05/18/2024,591.01,0.05,4,118.59
ORD15435,PROD0064,CUST0347,12/21/2023,412.1,0.23,4,44.55
ORD77937,PROD0114,CUST0956,07/09/2023,565.59,0.05,4,28.3
ORD94671,PROD0110,CUST0316,01/03/2024,933.98,0.04,5,156.74
ORD39662,PROD0078,CUST0399,09/12/2023,936.4,0.3,4,173.94
ORD35387,PROD0070,CUST0881,07/22/2023,152.74,0.2,3,21.8
ORD67892,PROD0015,CUST0737,07/10/2023,1206.17,0.16,3,268.24
ORD75538,PROD0084,CUST0479,02/03/2024,475.19,0.27,5,43.7
ORD80898,PROD0014,CUST0108,05/31/2024,224.27,0.21,4,34.86
ORD63885,PROD0008,CUST0222,10/26/2023,1134.91,0.24,5,202.8
ORD73713,PROD0091,CUST0532,07/20/2023,1410.04,0.2,5,251.81
ORD80751,PROD0049,CUST0283,06/27/2024,3320.38,0.02,9,356.54
ORD76280,PROD0102,CUST0024,06/10/2024,830.64,0.02,3,128.76
ORD31437,PROD0096,CUST0646,10/05/2023,2745.87,0.11,7,271.4
ORD44928,PROD0040,CUST0227,03/29/2024,2070.19,0.24,9,502.12
ORD67172,PROD0011,CUST0892,02/05/2024,31.14,0.03,1,6.96
ORD76512,PROD0064,CUST0131,04/29/2024,871.04,0.07,7,144.14
ORD56940,PROD0022,CUST0810,09/26/2023,3627.09,0.11,9,669.4
ORD61653,PROD0023,CUST0506,06/18/2024,910.25,0.08,2,54
ORD96388,PROD0094,CUST0089,08/11/2023,3160.43,0.27,9,516.03
ORD61289,PROD0003,CUST0064,10/05/2023,8.61,0.26,1,0.75
ORD47602,PROD0080,CUST0039,12/24/2023,1604.32,0.26,5,91.07
ORD63165,PROD0046,CUST0830,12/27/2023,944.45,0.3,3,122.86
ORD87050,PROD0017,CUST0446,04/30/2024,939.13,0.02,7,192.11
ORD87816,PROD0079,CUST0772,01/08/2024,1741.64,0.1,7,432.91
ORD58233,PROD0057,CUST0135,08/15/2023,26.66,0.16,1,4.32
ORD81476,PROD0054,CUST0962,11/27/2023,726.01,0.28,5,67.23
ORD37456,PROD0109,CUST0920,10/05/2023,160.22,0.2,3,23.61
ORD39847,PROD0013,CUST0933,12/26/2023,1003.44,0.29,7,189.57
ORD22534,PROD0039,CUST0895,09/07/2023,1757.91,0.26,9,147.82
ORD84752,PROD0064,CUST0344,05/21/2024,365.27,0.09,3,39.38
ORD72207,PROD0040,CUST0920,05/03/2024,1694.9,0.3,8,99.97
ORD24863,PROD0075,CUST0796,05/02/2024,1416.92,0.23,7,271.17
ORD71182,PROD0064,CUST0923,03/17/2024,248.87,0.07,2,20.11
ORD60276,PROD0005,CUST0783,10/07/2023,136.87,0.12,1,33.97
ORD40285,PROD0011,CUST0235,12/18/2023,213.14,0.17,8,50.42
ORD24885,PROD0085,CUST0983,09/15/2023,172.46,0.01,2,25.17
ORD84196,PROD0025,CUST0043,12/10/2023,240.16,0.18,7,52.47
ORD23595,PROD0097,CUST0241,10/20/2023,42.57,0.15,4,3.84
ORD21113,PROD0117,CUST0255,08/09/2023,303.6,0.28,1,21.47
ORD79079,PROD0038,CUST0560,05/15/2024,600.88,0.26,7,136.14
ORD74181,PROD0119,CUST0921,12/05/2023,440.78,0.25,6,91.24
ORD83445,PROD0046,CUST0417,11/06/2023,377.78,0.16,1,74.96
ORD25160,PROD0005,CUST0753,02/23/2024,115.09,0.26,1,16.14
ORD46988,PROD0083,CUST0846,09/05/2023,3526.74,0.1,9,853
ORD74637,PROD0007,CUST0527,09/24/2023,569.78,0.21,2,88.59
ORD77326,PROD0031,CUST0696,03/31/2024,56.76,0.14,2,11.96
ORD92915,PROD0026,CUST0393,07/13/2023,868.43,0.3,6,124.05
ORD36957,PROD0039,CUST0278,07/11/2023,1013.57,0.04,4,87.39
ORD66250,PROD0041,CUST0066,04/12/2024,213.82,0.2,1,17.45
ORD25475,PROD0089,CUST0007,07/28/2023,1546.26,0.17,4,295.12
ORD85587,PROD0029,CUST0013,10/20/2023,2001.65,0.2,6,165.52
ORD63609,PROD0027,CUST0033,04/17/2024,1110.2,0.12,3,106.56
ORD47514,PROD0085,CUST0999,07/01/2023,627.12,0.2,9,144.34
ORD71077,PROD0105,CUST0162,03/06/2024,169.52,0.19,2,35.72
ORD84901,PROD0063,CUST0090,10/03/2023,128.66,0.13,1,8.7
ORD68806,PROD0016,CUST0863,07/17/2023,1251.15,0.22,4,101.63
ORD58574,PROD0019,CUST0975,02/16/2024,3061.05,0.11,7,528.51
ORD98335,PROD0075,CUST0122,08/07/2023,1514.19,0.04,6,271.97
ORD55017,PROD0098,CUST0592,07/19/2023,1581.2,0.04,4,261.46
ORD31550,PROD0078,CUST0122,08/17/2023,237.45,0.29,1,39.59
ORD44496,PROD0020,CUST0022,06/27/2024,2265.06,0.27,7,120.48
ORD82088,PROD0041,CUST0850,01/22/2024,197.78,0.26,1,28.9
ORD67216,PROD0025,CUST0519,03/02/2024,175.73,0.16,5,16.35
ORD68665,PROD0086,CUST0789,02/14/2024,694.62,0.02,8,86.75
ORD18430,PROD0068,CUST0650,09/19/2023,723.52,0.11,3,40.62
ORD61530,PROD0076,CUST0648,05/11/2024,2098.36,0.23,6,317.24
ORD92788,PROD0025,CUST0641,07/20/2023,72.8,0.13,2,5.25
ORD16369,PROD0027,CUST0694,09/22/2023,1640.07,0.22,5,284.16
ORD22039,PROD0105,CUST0709,04/29/2024,376.7,0.28,5,59.77
ORD88031,PROD0075,CUST0081,04/29/2024,257.62,0.02,1,49.97
ORD82797,PROD0115,CUST0491,03/26/2024,18.08,0.05,1,2.64
ORD49074,PROD0095,CUST0331,03/05/2024,207.13,0.13,1,37.34
ORD85725,PROD0061,CUST0816,06/14/2024,1371.45,0.02,3,173.02
ORD39062,PROD0102,CUST0360,04/13/2024,881.49,0.22,4,128.58
ORD80876,PROD0045,CUST0081,10/03/2023,443.4,0.11,1,47.25
ORD67439,PROD0010,CUST0914,06/28/2024,456.07,0,1,51.61
ORD50175,PROD0093,CUST0195,04/04/2024,2824.38,0.29,9,549.54
ORD72728,PROD0113,CUST0943,09/01/2023,380.75,0.13,6,48.61
ORD15611,PROD0023,CUST0252,02/09/2024,390.81,0.21,1,67.7
ORD70263,PROD0066,CUST0557,07/13/2023,1179.02,0.16,4,79.76
ORD10660,PROD0114,CUST0044,11/21/2023,706.99,0.05,5,68.79
ORD92759,PROD0034,CUST0561,06/14/2024,2548.6,0.24,7,217.36
ORD29112,PROD0098,CUST0096,02/10/2024,2038.26,0.01,5,182.5
ORD82355,PROD0071,CUST0285,02/22/2024,1748.37,0.22,5,175.57
ORD98400,PROD0119,CUST0492,04/17/2024,511.3,0.13,6,126.33
ORD56594,PROD0046,CUST0021,07/04/2023,1619.06,0.1,4,187.09
ORD35077,PROD0009,CUST0475,11/05/2023,866.41,0.01,6,56.67
ORD30396,PROD0054,CUST0886,01/12/2024,669.54,0.17,4,134.05
ORD49590,PROD0095,CUST0333,06/16/2024,676.15,0.29,4,114.84
ORD44064,PROD0065,CUST0498,02/23/2024,12.49,0,1,2.59
ORD87445,PROD0024,CUST0678,08/05/2023,1818.81,0.19,6,231.8
ORD25910,PROD0107,CUST0457,04/20/2024,494.55,0.03,3,31.63
ORD70305,PROD0059,CUST0875,01/16/2024,103.97,0.24,5,21.8
ORD84695,PROD0078,CUST0714,01/13/2024,1755.76,0.25,7,298.48
ORD21142,PROD0113,CUST0324,04/06/2024,177.24,0.19,3,15.53
ORD30680,PROD0099,CUST0655,01/23/2024,1065.32,0.03,9,87.68
ORD69479,PROD0092,CUST0446,11/03/2023,493.06,0.04,5,115.39
ORD13662,PROD0043,CUST0040,01/25/2024,797.91,0.24,4,198.64
ORD41752,PROD0119,CUST0605,05/08/2024,445.67,0.09,5,27.91
ORD28567,PROD0050,CUST0506,01/08/2024,166.81,0.12,7,34.31
ORD60796,PROD0043,CUST0914,11/23/2023,1322.85,0.28,7,267.7
ORD26441,PROD0098,CUST0638,09/02/2023,3261.22,0.01,8,447.54
ORD33706,PROD0101,CUST0579,05/11/2024,39.25,0.07,4,2.75
ORD67553,PROD0006,CUST0571,02/22/2024,2182.19,0.15,6,422.64
ORD11327,PROD0061,CUST0795,07/26/2023,2546.98,0.22,7,401.45
ORD49369,PROD0102,CUST0293,08/01/2023,1740.38,0.12,7,250.89
ORD13846,PROD0079,CUST0894,12/26/2023,273.69,0.01,1,46.99
ORD13891,PROD0091,CUST0606,03/16/2024,2051.61,0.03,6,292.81
ORD82857,PROD0088,CUST0183,10/25/2023,622.1,0.02,5,143.3
ORD41772,PROD0074,CUST0315,01/23/2024,3505.55,0.01,8,811.99
ORD85559,PROD0065,CUST0527,09/04/2023,59.95,0.04,5,10.46
ORD52765,PROD0033,CUST0376,05/19/2024,159.6,0.05,6,13.89
ORD46919,PROD0072,CUST0538,07/14/2023,1809.74,0.27,5,339.57
ORD77715,PROD0118,CUST0739,07/04/2023,1764.77,0.03,9,395.19
ORD67631,PROD0008,CUST0640,03/20/2024,1060.24,0.29,5,84.2
ORD45714,PROD0093,CUST0262,10/11/2023,3500.64,0.12,9,665.25
ORD44717,PROD0023,CUST0484,02/02/2024,3784.46,0.15,9,316.35
ORD38536,PROD0057,CUST0984,12/25/2023,125.37,0.21,5,18.91
ORD22389,PROD0103,CUST0230,12/14/2023,2345.42,0.23,8,166.06
ORD71308,PROD0082,CUST0796,12/18/2023,193.76,0.27,1,9.7
ORD37748,PROD0092,CUST0790,12/22/2023,72.93,0.29,1,7.61
ORD20061,PROD0043,CUST0123,05/18/2024,1671.93,0.09,7,370.38
ORD13692,PROD0061,CUST0274,04/23/2024,2873.52,0.12,7,392.61
ORD46684,PROD0064,CUST0141,09/15/2023,845.62,0.21,8,103.79
ORD52853,PROD0004,CUST0459,03/29/2024,205.52,0.14,1,49.72
ORD92568,PROD0076,CUST0899,07/06/2023,3188.41,0.22,9,735.97
ORD30792,PROD0030,CUST0683,06/08/2024,113.11,0.18,2,22.32
ORD47072,PROD0065,CUST0947,02/01/2024,58.08,0.07,5,6.08
ORD38849,PROD0116,CUST0929,05/26/2024,869.46,0.02,4,199.09
ORD41995,PROD0072,CUST0659,09/14/2023,3768.23,0.05,8,597.66
ORD91842,PROD0045,CUST0411,08/28/2023,2824.79,0.19,7,679.79
ORD31286,PROD0113,CUST0545,06/19/2024,420.13,0.04,6,53.2
ORD25098,PROD0079,CUST0031,07/07/2023,1459.66,0.12,6,296.28
ORD73429,PROD0078,CUST0909,06/26/2024,1137.06,0.15,4,166.21
ORD23807,PROD0095,CUST0486,02/29/2024,202.37,0.15,1,49.27
ORD66026,PROD0073,CUST0469,11/25/2023,184.64,0.08,5,29.27
ORD11751,PROD0015,CUST0866,07/28/2023,402.06,0.16,1,38.66
ORD74242,PROD0079,CUST0099,02/02/2024,251.57,0.09,1,53.86
ORD50339,PROD0097,CUST0733,02/15/2024,8.76,0.3,1,1.34
ORD10219,PROD0048,CUST0804,11/09/2023,1475.32,0.22,6,263.78
ORD47712,PROD0087,CUST0696,03/14/2024,1222.57,0.12,8,243.27
ORD93613,PROD0118,CUST0275,05/30/2024,1287.7,0.09,7,82.08
ORD93716,PROD0070,CUST0470,09/19/2023,409.84,0.08,7,43.05
ORD71656,PROD0108,CUST0872,04/05/2024,250.2,0.12,1,56.25
ORD95192,PROD0055,CUST0184,10/11/2023,1035,0.1,8,128.64
ORD31737,PROD0116,CUST0304,04/30/2024,665.4,0.25,4,119.6
ORD41047,PROD0023,CUST0692,09/21/2023,3403.54,0.14,8,281.44
ORD65644,PROD0118,CUST0085,05/24/2024,1103.74,0.22,7,238.79
ORD94174,PROD0032,CUST0803,12/15/2023,903.79,0.24,6,172.29
ORD24799,PROD0059,CUST0466,03/14/2024,90.84,0.17,4,11
ORD39470,PROD0101,CUST0829,09/21/2023,23.1,0.27,3,5.76
ORD39925,PROD0028,CUST0469,03/29/2024,612.44,0.17,6,63.09
ORD30592,PROD0006,CUST0776,08/08/2023,1925.46,0.25,6,478.2
ORD40116,PROD0103,CUST0756,12/15/2023,2497.72,0.18,8,190.53
ORD56776,PROD0051,CUST0885,05/04/2024,3431.1,0.15,9,508.65
ORD93768,PROD0033,CUST0422,03/01/2024,201.6,0.1,8,44.48
ORD68425,PROD0070,CUST0463,10/06/2023,164.19,0.14,3,30.42
ORD41682,PROD0047,CUST0147,11/02/2023,365.07,0.23,2,67.17
ORD49543,PROD0115,CUST0940,03/08/2024,13.7,0.28,1,1.87
ORD82938,PROD0033,CUST0315,06/01/2024,134.4,0.2,6,24.63
ORD64065,PROD0073,CUST0917,09/24/2023,231.21,0.28,8,32.18
ORD15291,PROD0083,CUST0634,06/11/2024,2002.84,0.08,5,121.63
ORD33614,PROD0017,CUST0049,03/09/2024,479.15,0.3,5,38.52
ORD47379,PROD0066,CUST0241,11/23/2023,768.47,0.27,3,97.96
ORD95246,PROD0076,CUST0355,05/01/2024,1090.06,0.2,3,268.2
ORD19041,PROD0013,CUST0167,07/19/2023,442.16,0.27,3,87.15
ORD45020,PROD0012,CUST0907,12/04/2023,469.66,0.18,9,105.78
ORD26670,PROD0085,CUST0256,01/04/2024,170.72,0.02,2,12.8
ORD31193,PROD0060,CUST0618,12/17/2023,488.03,0.05,3,92.27
ORD50364,PROD0037,CUST0794,12/27/2023,2217.39,0.13,8,492.26
ORD17134,PROD0072,CUST0972,07/12/2023,4328.51,0.03,9,1069.64
ORD74051,PROD0030,CUST0922,02/05/2024,128.28,0.07,2,22.93
ORD37070,PROD0024,CUST0847,02/20/2024,2627.16,0.22,9,142.75
ORD54015,PROD0081,CUST0840,12/01/2023,1885.06,0.15,6,338.97
ORD20254,PROD0083,CUST0723,12/13/2023,2429.53,0.07,6,540.13
ORD91484,PROD0058,CUST0926,09/21/2023,812.38,0.05,2,115.96
ORD71057,PROD0034,CUST0829,09/20/2023,3147.42,0.27,9,425.91
ORD18248,PROD0033,CUST0958,02/11/2024,203.84,0.09,8,12.18
ORD47230,PROD0045,CUST0436,06/16/2024,4394.12,0.02,9,663.33
ORD31161,PROD0056,CUST0820,07/25/2023,954.79,0.02,4,73.19
ORD89224,PROD0016,CUST0051,06/06/2024,2245.66,0.2,7,280.5
ORD12007,PROD0081,CUST0680,02/12/2024,1995.95,0.1,6,378.78
ORD96279,PROD0047,CUST0699,07/24/2023,1770.84,0.17,9,178.9
ORD46713,PROD0078,CUST0238,04/08/2024,1337.72,0.2,5,188.01
ORD32772,PROD0119,CUST0753,07/09/2023,564.19,0.28,8,128.04
ORD12140,PROD0089,CUST0511,09/19/2023,912.85,0.02,2,56.57
ORD65620,PROD0088,CUST0358,03/21/2024,293.28,0.23,3,54.26
ORD85515,PROD0101,CUST0533,09/07/2023,24.69,0.22,3,2.66
ORD15455,PROD0030,CUST0410,03/15/2024,122.77,0.11,2,7.75
ORD76200,PROD0068,CUST0314,07/10/2023,246.59,0.09,1,21.03
ORD75475,PROD0108,CUST0731,12/05/2023,562.95,0.01,2,39.25
ORD39573,PROD0106,CUST0108,12/15/2023,118.3,0.23,3,26.25
ORD56605,PROD0096,CUST0252,01/14/2024,2961.84,0.16,8,421.21
ORD28429,PROD0097,CUST0555,02/16/2024,50.71,0.19,5,8.01
ORD21230,PROD0070,CUST0476,02/18/2024,463.3,0.09,8,107.98
ORD33902,PROD0083,CUST0917,11/06/2023,2507.9,0.28,8,268.19
ORD16878,PROD0015,CUST0836,02/05/2024,2910.13,0.24,8,304.5
ORD85275,PROD0060,CUST0479,09/04/2023,486.32,0.29,4,43.93
ORD49714,PROD0038,CUST0563,08/30/2023,337.56,0.03,3,40.31
ORD16600,PROD0078,CUST0846,11/03/2023,1638.71,0.02,5,393.07
ORD56067,PROD0035,CUST0518,11/25/2023,1576.39,0.05,4,113.09
ORD10092,PROD0068,CUST0951,04/07/2024,1780.34,0.27,9,442.31
ORD42305,PROD0073,CUST0059,05/27/2024,158.55,0.21,5,25.28
ORD47396,PROD0099,CUST0831,07/30/2023,683.37,0.2,7,103.76
ORD76267,PROD0120,CUST0553,05/24/2024,2867.58,0.16,9,536.11
ORD79634,PROD0047,CUST0228,03/15/2024,1839.59,0.03,8,116.84
ORD68938,PROD0049,CUST0451,08/18/2023,2318.99,0.23,8,334.93
ORD24283,PROD0099,CUST0420,06/14/2024,999.43,0.09,9,190.44
ORD88687,PROD0013,CUST0705,10/09/2023,670.31,0.17,4,84.96
ORD51218,PROD0012,CUST0440,12/16/2023,396.48,0.11,7,87.3
ORD76942,PROD0029,CUST0820,12/27/2023,354.46,0.15,1,18.52
ORD53718,PROD0084,CUST0718,03/11/2024,570.23,0.27,6,83.99
ORD47643,PROD0012,CUST0446,11/12/2023,374.2,0.02,6,71.6
ORD95374,PROD0036,CUST0022,02/28/2024,651.86,0.19,2,127.51
ORD51862,PROD0062,CUST0479,10/06/2023,673.86,0.09,2,135.29
ORD70089,PROD0100,CUST0703,01/16/2024,673.78,0.26,2,39.95
ORD78317,PROD0041,CUST0386,02/14/2024,264.6,0.01,1,41.08
ORD48839,PROD0081,CUST0639,07/09/2023,2129.01,0.28,8,502.39
ORD64172,PROD0089,CUST0803,06/07/2024,2067.89,0.26,6,446.38
ORD23667,PROD0091,CUST0441,11/20/2023,2393.54,0.03,7,125.45
ORD67308,PROD0019,CUST0005,08/27/2023,2889.08,0.16,7,624.79
ORD33382,PROD0024,CUST0951,07/02/2023,703.57,0.06,2,131.9
ORD78364,PROD0099,CUST0960,03/20/2024,820.04,0.04,7,85.2
ORD35689,PROD0016,CUST0196,08/06/2023,2726.87,0.15,8,137.14
ORD65631,PROD0015,CUST0879,01/05/2024,1321.05,0.08,3,113.48
ORD71959,PROD0045,CUST0016,01/27/2024,353.72,0.29,1,49.8
ORD97619,PROD0042,CUST0215,09/30/2023,924.07,0.04,7,116.37
ORD65161,PROD0040,CUST0363,08/26/2023,1716.08,0.19,7,327.72
ORD99995,PROD0073,CUST0734,12/15/2023,307.07,0.15,9,67.64
ORD45161,PROD0105,CUST0594,06/04/2024,695.86,0.05,7,109.26
